BookingID,CheckinDate,GuestID,RoomType,Nights,GuestsCount,TotalAmount,Source,Rating
9045,11-09-2025,2031,Deluxe,,4,,Direct,2
9046,22-07-2025,2010,Dormitory,,1,,MakeMyTrip ,4
9047,23-07-2025,2027,Suite,3,3,18000,direct,3
9048,09-06-2025,2057,Suite,,4,,direct,3
9049,06-07-2025,2026,Cottage,2,2,9000,Direct,4
9050,22-03-2025,2008,Deluxe,4,4,14000,GoIbibo,5
9051,24-08-2025,2009,Deluxe,2,1,7000,GoIbibo,4
9052,25-11-2025,2006,Dormitory,4,,3600,Booking.com,
9053,16-09-2025,2010,Suite,2,3,12000,MakeMyTrip,5
9054,29-03-2025,2007,Cottage,1,4,4500, Direct,2
9055,12-04-2025,2009,Deluxe,3,4,10500,Booking.com,3
9056,08-11-2025,2006,Dormitory,4,2,3600,MakeMyTrip ,2
9057,24-04-2025,2026,Dormitory,,2,, Direct,4
9058,04-04-2025,2014,Deluxe,,4,,GoIbibo,4
9059,16-07-2025,2008,Standard,3,2,6000,MakeMyTrip ,2
9060,09-04-2025,2057,Dormitory,1,1,900,MakeMyTrip ,2
9061,15-06-2025,2025,Dormitory,1,4,900,GoIbibo,2
9062,18-11-2025,2042,Cottage,3,3,13500,GoIbibo,4
9063,06-08-2025,2043,Suite,4,4,24000,GoIbibo,4
9064,02-04-2025,2001,Dormitory,1,4,900,direct,4
9065,17-08-2025,2050,Cottage,,2,, Direct,4
9066,24-07-2025,2005,Standard,1,3,30000,direct,5
9067,16-02-2025,2033,Dormitory,4,1,3600,Direct,
9068,08-03-2025,2060,Suite,1,,6000,Direct,3
9069,16-09-2025,2042,Standard,4,1,8000, Direct,3
9070,11-11-2025,2013,Standard,1,4,,Booking.com,2
9071,26-03-2025,2005,Suite,2,,12000, Direct,5
9072,23-03-2025,2058,Dormitory,3,3,2700, Direct,4
9073,15-03-2025,2033,Cottage,3,2,13500,GoIbibo,5
9074,12-11-2025,2016,Suite,,3,,Direct,4
9075,04-04-2025,2011,Suite,4,3,24000,direct,4
9076,16-05-2025,2050,Dormitory,1,1,900,MakeMyTrip ,2
9077,04-07-2025,2036,Dormitory,4,,3600,MakeMyTrip ,3
9078,10-05-2025,2041,Cottage,,3,,Booking.com,4
9079,08-07-2025,2010,Suite,,3,, Direct,3
9080,15-08-2025,2012,Dormitory,2,1,1800,Booking.com,2
9081,22-09-2025,2020,Dormitory,3,3,2700,MakeMyTrip ,3
9082,18-01-2025,2010,Suite,2,,12000,MakeMyTrip ,4
9083,02-08-2025,2024,Deluxe,,2,,direct,4
9084,10-11-2025,2002,Deluxe,1,1,3500,GoIbibo,5
9085,05-06-2025,2034,Suite,1,,6000,MakeMyTrip,4
9086,26-10-2025,2038,Standard,3,2,6000,Booking.com,5
9087,01-09-2025,2009,Deluxe,2,2,7000,MakeMyTrip ,4
9088,19-08-2025,2005,Standard,1,3,2000,direct,2
9089,16-05-2025,2004,Dormitory,1,3,900,GoIbibo,
9090,24-10-2025,2039,Dormitory,4,4,3600,MakeMyTrip,4
9091,01-01-2025,2004,Dormitory,1,1,900,direct,4
9092,02-05-2025,2004,Deluxe,2,1,7000,GoIbibo,5
9093,03-12-2025,2010,Cottage,2,2,9000,GoIbibo,5
9094,26-11-2025,2042,Cottage,,,,MakeMyTrip,5
9095,08-06-2025,2020,Deluxe,1,4,3500,MakeMyTrip ,5
9096,04-01-2025,2055,Cottage,4,4,18000,Direct,
9097,02-12-2025,2012,Standard,4,1,8000,Booking.com,4
9098,26-11-2025,2008,Suite,1,3,,MakeMyTrip ,3
9099,17-05-2025,2044,Cottage,,,,Booking.com,5
9100,25-11-2025,2006,Dormitory,2,1,1800,MakeMyTrip,5
9101,01-05-2025,2011,Suite,2,2,12000,direct,5
9102,04-11-2025,2025,Dormitory,2,4,1800,direct,2
9103,29-09-2025,2055,Deluxe,1,4,3500,MakeMyTrip ,4
9104,20-10-2025,2051,Standard,3,4,6000,GoIbibo,5
9105,09-02-2025,2059,Standard,,2,,Direct,3
9106,27-02-2025,2040,Standard,1,3,2000,MakeMyTrip,
9107,15-01-2025,2003,Standard,1,1,2000,MakeMyTrip ,3
9108,24-01-2025,2055,Dormitory,1,3,900,MakeMyTrip,2
9109,01-10-2025,2057,Cottage,1,1,4500,MakeMyTrip,4
9110,15-04-2025,2003,Deluxe,1,1,3500, Direct,2
9111,20-11-2025,2031,Deluxe,3,2,10500,Direct,2
9112,27-11-2025,2019,Suite,2,3,12000,direct,5
9113,11-01-2025,2017,Suite,3,1,18000,MakeMyTrip ,2
9114,08-07-2025,2050,Dormitory,3,,2700,direct,2
9115,28-05-2025,2048,Deluxe,,4,,Direct,4
9116,23-09-2025,2023,Cottage,1,1,4500,GoIbibo,5
9117,21-04-2025,2037,Suite,1,2,6000,direct,3
9118,26-09-2025,2019,Deluxe,2,1,,Booking.com,4
9119,18-02-2025,2045,Standard,4,4,8000,GoIbibo,5
9120,21-09-2025,2037,Standard,3,3,6000, Direct,4
9121,25-12-2025,2032,Standard,2,1,4000,MakeMyTrip ,2
9122,11-02-2025,2051,Dormitory,4,1,3600,MakeMyTrip ,5
9123,02-07-2025,2026,Cottage,1,1,4500,direct,
9124,13-01-2025,2014,Suite,3,3,18000,direct,5
9125,14-09-2025,2025,Standard,2,4,4000,MakeMyTrip,5
9126,01-11-2025,2042,Deluxe,,3,,GoIbibo,5
9127,25-09-2025,2056,Cottage,2,,9000,MakeMyTrip ,5
9128,28-03-2025,2029,Suite,4,,24000,MakeMyTrip,4
9129,21-06-2025,2042,Standard,4,,8000,MakeMyTrip,5
9130,04-06-2025,2010,Standard,,2,,MakeMyTrip ,5
9131,05-11-2025,2023,Standard,,2,,Booking.com,4
9132,13-05-2025,2011,Deluxe,1,2,3500,direct,4
9133,17-03-2025,2047,Suite,3,4,18000,Booking.com,4
9134,25-02-2025,2018,Standard,1,4,2000,direct,3
9135,07-01-2025,2055,Cottage,4,2,18000,GoIbibo,
9136,01-06-2025,2002,Standard,4,3,8000,GoIbibo,
9137,27-07-2025,2048,Standard,1,4,2000,MakeMyTrip ,5
9138,28-10-2025,2055,Standard,4,,8000, Direct,4
9139,14-12-2025,2042,Deluxe,2,4,7000,direct,5
9140,14-05-2025,2058,Cottage,1,2,4500, Direct,4
9141,31-12-2025,2017,Cottage,2,4,9000,direct,3
9142,15-11-2025,2034,Standard,4,3,8000, Direct,3
9143,19-07-2025,2059,Deluxe,4,1,14000,Booking.com,5
9144,22-04-2025,2046,Standard,2,,4000,Booking.com,3
9145,22-10-2025,2035,Standard,4,4,8000,GoIbibo,3
9146,24-11-2025,2034,Suite,3,4,,MakeMyTrip ,4
9147,18-04-2025,2026,Dormitory,2,1,1800,MakeMyTrip ,5
9148,02-07-2025,2017,Suite,1,4,6000,direct,3
9149,07-01-2025,2027,Cottage,1,3,4500,GoIbibo,5
9150,25-02-2025,2020,Cottage,2,,9000,MakeMyTrip,2
9151,20-07-2025,2014,Standard,4,2,8000, Direct,3
9152,21-11-2025,2031,Dormitory,2,2,1800, Direct,4
9153,30-06-2025,2030,Suite,4,,24000,MakeMyTrip ,4
9154,29-08-2025,2051,Standard,3,3,6000,MakeMyTrip ,4
9155,18-12-2025,2028,Standard,3,4,6000,Direct,2
9156,24-05-2025,2016,Suite,3,3,18000,direct,4
9157,08-08-2025,2041,Deluxe,,3,,MakeMyTrip,5
9158,17-07-2025,2006,Dormitory,1,3,900, Direct,4
9159,29-09-2025,2041,Dormitory,3,1,2700,MakeMyTrip ,3
9160,18-04-2025,2042,Suite,1,3,,GoIbibo,3
9161,24-10-2025,2055,Standard,2,2,, Direct,4
9162,27-06-2025,2014,Cottage,2,,9000,MakeMyTrip,5
9163,19-12-2025,2051,Deluxe,,,, Direct,
9164,02-06-2025,2032,Standard,2,,4000,Direct,
9165,13-08-2025,2036,Deluxe,1,3,3500,direct,4
9166,13-03-2025,2032,Dormitory,4,1,3600,direct,4
9167,15-03-2025,2016,Cottage,4,2,18000,GoIbibo,5
9168,04-01-2025,2054,Suite,2,4,12000,MakeMyTrip ,5
9169,12-09-2025,2054,Cottage,3,3,13500,direct,4
9170,13-12-2025,2012,Suite,1,1,6000,Direct,5
9171,24-01-2025,2052,Deluxe,3,,10500,direct,4
9172,15-03-2025,2014,Cottage,1,2,4500,Booking.com,3
9173,04-12-2025,2022,Cottage,3,,13500,GoIbibo,2
9174,18-04-2025,2028,Suite,3,4,18000,Booking.com,5
9175,27-01-2025,2019,Suite,3,4,18000,direct,5
9176,15-09-2025,2056,Dormitory,3,3,2700,MakeMyTrip,
9177,10-09-2025,2022,Standard,1,3,2000,MakeMyTrip ,5
9178,07-03-2025,2041,Deluxe,,1,,direct,
9179,11-10-2025,2035,Dormitory,4,1,3600,direct,5
9180,25-02-2025,2003,Standard,1,4,2000,GoIbibo,2
9181,03-12-2025,2051,Dormitory,1,,900,GoIbibo,4
9182,12-11-2025,2041,Dormitory,2,1,1800,MakeMyTrip,3
9183,08-12-2025,2041,Standard,4,1,8000,MakeMyTrip ,4
9184,19-01-2025,2050,Deluxe,4,1,14000,Booking.com,2
9185,13-03-2025,2036,Suite,3,3,18000,MakeMyTrip,4
9186,18-01-2025,2002,Cottage,3,,13500,MakeMyTrip ,5
9187,28-01-2025,2037,Dormitory,4,1,3600, Direct,3
9188,04-08-2025,2045,Cottage,,4,,Direct,3
9189,15-12-2025,2039,Dormitory,4,2,3600,direct,2
9190,31-07-2025,2007,Deluxe,,4,,MakeMyTrip,4
9191,17-11-2025,2028,Deluxe,1,1,3500,MakeMyTrip ,
9192,04-03-2025,2014,Deluxe,1,2,,direct,3
9193,22-05-2025,2016,Cottage,,2,,Direct,5
9194,22-12-2025,2047,Deluxe,2,3,7000,MakeMyTrip ,5
9195,30-12-2025,2030,Suite,4,1,24000,MakeMyTrip ,3
9196,06-01-2025,2001,Dormitory,1,1,900,direct,5
9197,09-06-2025,2011,Cottage,,,,Direct,5
9198,08-07-2025,2047,Cottage,,4,,MakeMyTrip ,4
9199,16-03-2025,2024,Standard,1,4,2000,direct,4
9200,20-08-2025,2051,Dormitory,3,3,2700,Booking.com,5
9201,01-02-2025,2042,Dormitory,,3,, Direct,5
9202,08-01-2025,2039,Suite,2,,12000,direct,4
9203,12-07-2025,2044,Cottage,4,,18000, Direct,4
9204,20-08-2025,2045,Deluxe,3,3,10500,Booking.com,5
9205,05-08-2025,2038,Deluxe,2,3,7000, Direct,4
9206,20-10-2025,2018,Dormitory,2,4,1800,Booking.com,5
9207,13-02-2025,2036,Cottage,,4,,MakeMyTrip,2
9208,30-04-2025,2039,Deluxe,3,4,10500,direct,
9209,16-04-2025,2038,Deluxe,3,4,10500,direct,5
9210,14-02-2025,2052,Suite,,1,,MakeMyTrip,4
9211,24-10-2025,2058,Suite,,,,Booking.com,4
9212,17-09-2025,2013,Standard,,2,,MakeMyTrip,3
9213,03-04-2025,2024,Dormitory,3,,2700,Booking.com,4
9214,22-09-2025,2016,Deluxe,2,4,7000,Booking.com,2
9215,24-02-2025,2041,Cottage,3,1,13500,MakeMyTrip,5
9216,02-11-2025,2023,Suite,1,,6000,GoIbibo,3
9217,18-02-2025,2014,Dormitory,1,4,900,GoIbibo,5
9218,20-04-2025,2060,Suite,3,4,18000,Direct,4
9219,31-10-2025,2009,Suite,,1,,Booking.com,4
9220,03-04-2025,2006,Deluxe,4,1,,Direct,5
9221,09-07-2025,2032,Deluxe,4,,14000,MakeMyTrip ,4
9222,03-03-2025,2017,Suite,1,,6000,MakeMyTrip,
9223,15-02-2025,2026,Standard,,4,, Direct,4
9224,09-07-2025,2047,Standard,2,2,60000,Direct,5
9225,30-06-2025,2058,Dormitory,1,1,900, Direct,3
9226,13-05-2025,2046,Cottage,,1,,Direct,4
9227,12-06-2025,2013,Suite,1,,6000,GoIbibo,4
9228,01-12-2025,2031,Suite,1,3,6000,Booking.com,4
9229,05-03-2025,2031,Cottage,3,2,13500,direct,4
9230,15-03-2025,2030,Standard,1,1,2000,MakeMyTrip,2
9231,23-04-2025,2060,Dormitory,1,3,900,MakeMyTrip ,4
9232,17-08-2025,2060,Cottage,1,1,4500,MakeMyTrip ,3
9233,20-08-2025,2021,Standard,3,4,6000,Direct,
9234,07-07-2025,2022,Standard,2,1,4000,MakeMyTrip,
9235,20-08-2025,2057,Standard,,4,, Direct,4
9236,17-05-2025,2027,Standard,4,2,8000,Direct,5
9237,20-10-2025,2022,Standard,3,3,6000,direct,3
9238,12-06-2025,2058,Cottage,4,1,18000,MakeMyTrip,5
9239,30-01-2025,2036,Cottage,2,3,9000,Direct,5
9240,14-04-2025,2028,Suite,3,2,,MakeMyTrip,3
9241,19-07-2025,2027,Standard,3,1,6000, Direct,
9242,31-05-2025,2041,Deluxe,2,4,7000, Direct,5
9243,24-06-2025,2009,Cottage,,1,, Direct,2
9244,27-09-2025,2012,Suite,3,4,18000,Direct,4
9245,22-04-2025,2037,Standard,3,2,6000, Direct,4
9246,25-09-2025,2046,Standard,2,2,4000,GoIbibo,3
9247,14-02-2025,2047,Cottage,,3,,MakeMyTrip,4
9248,12-03-2025,2043,Standard,,,,Booking.com,4
9249,06-01-2025,2045,Dormitory,1,4,900, Direct,
9250,29-01-2025,2052,Suite,,3,,Booking.com,2
9251,24-11-2025,2006,Deluxe,4,4,14000, Direct,4
9252,10-03-2025,2016,Standard,3,,6000, Direct,5
9253,19-01-2025,2045,Suite,2,,12000,GoIbibo,2
9254,03-01-2025,2034,Cottage,3,,13500,Direct,3
9255,02-07-2025,2053,Suite,2,4,12000,GoIbibo,2
9256,01-02-2025,2056,Deluxe,3,4,10500,direct,5
9257,14-01-2025,2052,Dormitory,,2,,Direct,4
9258,15-02-2025,2040,Standard,2,2,4000,Direct,5
9259,09-05-2025,2053,Deluxe,,1,,Direct,
9260,10-04-2025,2002,Dormitory,3,,2700,direct,5
9261,03-05-2025,2007,Suite,4,1,24000,MakeMyTrip ,4
9262,24-01-2025,2008,Cottage,3,4,13500,GoIbibo,5
9263,24-05-2025,2008,Deluxe,1,4,3500,MakeMyTrip,5
9264,31-10-2025,2056,Standard,2,2,4000,MakeMyTrip ,5
9265,25-08-2025,2011,Deluxe,4,4,14000,MakeMyTrip ,4
9266,02-11-2025,2034,Deluxe,,4,,Direct,2
9267,05-07-2025,2026,Standard,3,3,6000,MakeMyTrip ,4
9268,16-10-2025,2053,Cottage,3,,13500,Direct,5
9269,22-09-2025,2044,Suite,2,2,12000, Direct,4
9270,06-12-2025,2024,Deluxe,1,,3500,MakeMyTrip,3
9271,16-06-2025,2013,Dormitory,4,1,3600,MakeMyTrip,4
9272,04-08-2025,2050,Cottage,4,1,18000, Direct,3
9273,18-01-2025,2018,Dormitory,,3,,MakeMyTrip ,5
9274,19-01-2025,2007,Suite,,1,,GoIbibo,3
9275,11-08-2025,2003,Suite,2,1,12000,Booking.com,5
9276,28-11-2025,2008,Deluxe,2,,7000,GoIbibo,5
9277,13-02-2025,2038,Dormitory,4,2,,direct,3
9278,19-09-2025,2057,Suite,2,4,12000,GoIbibo,5
9279,21-05-2025,2048,Deluxe,2,,7000,Booking.com,2
9280,21-08-2025,2045,Dormitory,,2,,MakeMyTrip ,4
9281,14-04-2025,2046,Suite,,4,,GoIbibo,5
9282,10-11-2025,2031,Suite,4,1,24000,MakeMyTrip,5
9283,24-04-2025,2033,Dormitory,2,4,1800,GoIbibo,4
9284,07-01-2025,2011,Standard,3,3,6000,GoIbibo,5
9285,09-09-2025,2019,Standard,3,3,6000,Direct,2
9286,12-01-2025,2036,Deluxe,2,,7000, Direct,5
9287,14-08-2025,2034,Cottage,1,4,4500,Booking.com,
9288,25-02-2025,2015,Standard,,4,,Booking.com,
9289,30-06-2025,2044,Standard,2,,4000,GoIbibo,2
9290,22-05-2025,2007,Cottage,,3,, Direct,
9291,29-12-2025,2027,Deluxe,2,1,7000,direct,2
9292,09-10-2025,2008,Cottage,,4,,GoIbibo,4
9293,02-08-2025,2056,Dormitory,3,,2700,Direct,4
9294,20-08-2025,2019,Suite,4,3,24000,Booking.com,4
9295,27-09-2025,2039,Cottage,,3,,Direct,2
9296,13-09-2025,2029,Suite,4,2,24000,GoIbibo,5
9297,16-03-2025,2037,Cottage,4,,18000,MakeMyTrip,3
9298,19-06-2025,2054,Dormitory,3,2,2700,Booking.com,4
9299,07-08-2025,2002,Deluxe,1,3,3500,GoIbibo,4
9300,03-06-2025,2050,Suite,,,,GoIbibo,4
9301,22-09-2025,2047,Cottage,,4,,direct,5
9302,21-01-2025,2044,Suite,,4,,Direct,
9303,04-02-2025,2015,Deluxe,,4,,Booking.com,5
9304,25-07-2025,2060,Dormitory,,2,,MakeMyTrip,4
9305,07-09-2025,2029,Dormitory,4,,3600,Booking.com,
9306,29-09-2025,2011,Suite,1,3,6000,Booking.com,3
9307,09-06-2025,2012,Deluxe,,3,,MakeMyTrip ,5
9308,18-09-2025,2041,Standard,4,,8000,Booking.com,2
9309,19-09-2025,2033,Standard,2,4,4000,MakeMyTrip,3
9310,19-11-2025,2039,Deluxe,,3,,GoIbibo,
9311,22-11-2025,2045,Cottage,1,1,4500, Direct,3
9312,07-06-2025,2001,Suite,,4,, Direct,3
9313,28-10-2025,2043,Deluxe,1,2,3500,MakeMyTrip,4
9314,11-10-2025,2018,Dormitory,,,,MakeMyTrip,5
9315,12-04-2025,2039,Deluxe,4,2,14000,MakeMyTrip,5
9316,18-09-2025,2002,Deluxe,1,1,3500,MakeMyTrip,5
9317,09-09-2025,2040,Cottage,4,1,18000,MakeMyTrip ,3
9318,17-12-2025,2021,Standard,,2,,Booking.com,5
9319,28-03-2025,2018,Deluxe,1,,3500,Direct,5
9320,09-04-2025,2040,Cottage,4,1,18000,Direct,4
9321,22-07-2025,2049,Deluxe,,4,,Direct,5
9322,03-05-2025,2015,Deluxe,2,2,7000,GoIbibo,2
9323,30-03-2025,2001,Cottage,3,3,13500,direct,5
9324,10-05-2025,2005,Standard,4,4,8000,MakeMyTrip ,
9325,27-10-2025,2027,Suite,2,4,12000,MakeMyTrip ,4
9326,12-01-2025,2006,Standard,2,2,4000,Booking.com,4
9327,06-04-2025,2057,Suite,1,4,6000,GoIbibo,5
9328,28-02-2025,2035,Cottage,3,3,13500,direct,
9329,03-02-2025,2028,Suite,1,,6000,MakeMyTrip,4
9330,08-04-2025,2019,Suite,4,2,24000,direct,3
9331,23-05-2025,2022,Standard,1,2,2000,MakeMyTrip ,4
9332,17-02-2025,2018,Dormitory,2,2,1800,GoIbibo,4
9333,28-08-2025,2011,Suite,2,3,12000,MakeMyTrip,
9334,27-07-2025,2041,Dormitory,4,2,3600,Booking.com,4
9335,16-09-2025,2015,Cottage,2,2,9000,MakeMyTrip ,5
9336,02-11-2025,2038,Suite,4,,24000,MakeMyTrip,4
9337,08-11-2025,2014,Standard,,1,,MakeMyTrip ,5
9338,16-02-2025,2055,Suite,,4,,Direct,
9339,18-10-2025,2020,Deluxe,2,4,7000,MakeMyTrip ,3
9340,22-12-2025,2050,Standard,2,3,4000,MakeMyTrip,
9341,25-02-2025,2036,Suite,1,,6000, Direct,5
9342,09-04-2025,2046,Suite,1,1,6000,MakeMyTrip,5
9343,06-03-2025,2019,Suite,4,4,24000, Direct,4
9344,18-11-2025,2060,Suite,2,2,12000,Direct,5
9345,14-12-2025,2058,Cottage,3,1,13500,MakeMyTrip ,
9346,25-12-2025,2016,Cottage,4,3,18000,MakeMyTrip ,3
9347,04-04-2025,2008,Suite,3,,18000,MakeMyTrip ,4
9348,31-12-2025,2026,Deluxe,1,,3500,MakeMyTrip,4
9349,12-04-2025,2010,Cottage,3,1,13500,GoIbibo,5
9192,04-03-2025,2014,Deluxe,1,2,3500,direct,3
9256,01-02-2025,2056,Deluxe,3,4,10500,direct,5
9169,12-09-2025,2054,Cottage,3,3,13500,direct,4
9067,16-02-2025,2033,Dormitory,4,1,3600,Direct,
9201,01-02-2025,2042,Dormitory,,3,, Direct,5
9102,04-11-2025,2025,Dormitory,2,4,,direct,2
9112,27-11-2025,2019,Suite,2,3,12000,direct,5
9173,04-12-2025,2022,Cottage,3,,13500,GoIbibo,2
9090,24-10-2025,2039,Dormitory,4,4,3600,MakeMyTrip,4
9269,22-09-2025,2044,Suite,2,2,12000, Direct,4
